date_time,global_active_power,fridge_w,fan_w,lights_w,tv_w,computer_w,ac_w
2025-01-01 00:00:00,220.2,143.71,12.57,27.99,0.0,5.02,0.0
2025-01-01 00:01:00,239.34,141.17,5.0,30.15,3.22,0.0,12.12
2025-01-01 00:02:00,236.24,144.32,5.0,27.01,4.68,13.76,0.0
2025-01-01 00:03:00,244.78,147.82,7.47,37.43,0.0,6.43,0.0
2025-01-01 00:04:00,229.3,140.79,9.81,29.63,0.0,0.0,0.0
2025-01-01 00:05:00,234.13,140.79,5.0,26.33,6.93,0.24,0.0
2025-01-01 00:06:00,266.31,148.04,8.54,28.0,0.0,3.49,10.05
2025-01-01 00:07:00,241.8,144.8,7.29,31.72,0.0,2.62,4.07
2025-01-01 00:08:00,209.57,139.85,5.0,25.98,0.0,0.0,7.97
2025-01-01 00:09:00,252.69,143.9,5.0,29.44,1.04,2.37,34.14
2025-01-01 00:10:00,242.07,139.87,9.6,22.19,0.0,4.03,0.0
2025-01-01 00:11:00,243.34,139.86,5.0,31.32,0.0,1.45,0.0
2025-01-01 00:12:00,243.98,142.7,7.55,21.05,2.53,2.65,0.0
2025-01-01 00:13:00,214.15,134.07,13.44,33.16,0.0,8.3,0.0
2025-01-01 00:14:00,221.79,134.83,5.0,24.59,0.0,10.91,11.42
2025-01-01 00:15:00,239.13,139.48,5.0,25.31,15.99,1.33,0.0
2025-01-01 00:16:00,221.36,137.68,12.98,13.43,4.44,2.33,5.3
2025-01-01 00:17:00,240.65,142.98,5.0,28.0,0.0,10.07,3.85
2025-01-01 00:18:00,293.31,138.1,9.85,34.32,8.06,0.0,60.7
2025-01-01 00:19:00,245.62,136.08,10.61,49.34,6.54,12.18,0.16
2025-01-01 00:20:00,263.24,147.59,21.08,27.7,1.41,1.9,0.0
2025-01-01 00:21:00,247.82,140.82,7.69,31.19,3.24,0.79,0.0
2025-01-01 00:22:00,276.53,142.0,16.87,34.52,12.88,0.0,9.37
2025-01-01 00:23:00,216.04,136.03,7.22,21.97,0.0,0.0,0.0
2025-01-01 00:24:00,246.62,139.55,8.58,24.42,6.7,2.58,9.22
2025-01-01 00:25:00,232.54,142.17,12.69,18.09,2.29,0.0,13.11
2025-01-01 00:26:00,257.66,137.12,11.51,29.8,5.29,0.0,0.0
2025-01-01 00:27:00,274.48,143.23,11.2,29.78,10.1,6.26,0.0
2025-01-01 00:28:00,286.0,139.32,11.1,31.19,10.97,0.0,38.91
2025-01-01 00:29:00,260.94,140.56,12.57,35.31,0.0,0.0,0.0
2025-01-01 00:30:00,247.32,139.32,11.7,41.22,4.54,15.3,0.0
2025-01-01 00:31:00,256.78,149.14,11.06,34.95,9.83,2.38,12.82
2025-01-01 00:32:00,215.6,141.67,7.1,27.6,0.0,3.65,0.0
